,en,nl,it,de,es,pl,cs,fr,el,ro,pt
,Guidelines to best use Space Awareness with 8 to 18 year olds.,Richtlijnen voor het beste gebruik van Space Awareness bij 8- tot 18-jarigen.,Guida al miglior uso di Space Awareness con i ragazzi fra gli 8 e i 18 anni.,Anleitungen zur bestmöglichen Nutzung von Space Awareness mit 8- bis 18-Jährigen,Pautas para aprovechar al máximo el proyecto Space Awareness con niños de 8 a 18 años.,"Wskazówki, jak najlepiej wykorzystać inicjatywę Space Awareness (wiedza o kosmosie) w pracy z uczniami od 8 do 18 roku życia.","Návod, jak nejlépe používat program Povědomí o vesmíru (Space Awareness) se žáky ve věku 8–18 let.",Conseils pour tirer le meilleur parti de Space Awareness avec les 8 à 18 ans.,"Οδηγίες για την καλύτερη δυνατή χρήση του ""Space Awareness"" με παιδιά και εφήβους ηλικίας 8 έως 18 ετών.",Instrucţiuni pentru utilizarea optimă a Space Awareness cu copii de 8 - 18 ani,Orientações sobre a melhor utilização de Space Awareness com jovens dos 8 aos 18 anos de idade.
Section texts – About,,,,,,,,,,,
,Know us,Over ons,Per conoscerci,Über uns,Sobre nosotros,Poznaj nas,Seznamte se s námi,Savoir qui nous sommes ,Γνωρίστε μας,Despre noi,Quem somos
,Get to know us,Leer meer over ons,Per conoscerci,Lernen Sie uns kennen,Conócenos,Poznaj nas,Seznamte se s námi,Découvrez qui nous sommes,Γνωρίστε μας,Descoperă cine suntem,Saiba quem somos
,Vision and team behind Space Awareness,,,,,,,,,,
,Who is behind Space Awareness? Is there a contact in my country?,Wie zit er achter Space Awareness? Is er in mijn land een contactpersoon?,Chi c’è dietro a Space Awareness? Chi posso contattare nel mio paese?,Wer steckt hinter Space Awareness? Gibt es einen Ansprechpartner in meinem Land?,¿Qué encierra Space Awareness? ¿Con quién me puedo poner en contacto en mi país?,Kto stoi za inicjatywą Space Awareness? Z kim mogę skontaktować się w swoim kraju?,Kdo stojí za programem Povědomí o vesmíru? Mohu se obrátit na někoho ve své zemi?,Qui est derrière Space Awareness ? Y a-t-il un contact dans mon pays ? ,"Ποιος βρίσκεται πίσω από το ""Space Awareness""; Υπάρχει υπεύθυνος επικοινωνίας στη χώρα μου; ",Cine se află în spatele Space Awareness? Există un punct de contact în ţara mea?,Quem é responsável pelo Space Awareness? Existe um contacto no meu país?
Categories texts – Space,,,,,,,, ,,,
,Space Exploration,Ruimteverkenning,,,,,,,,,
,Our wonderful Universe,Ons schitterende heelal,Il nostro magnifico universo,Unser wundervolles Universum,Nuestro maravilloso universo,Nasz cudowny Wszechświat,Náš nádherný vesmír,Notre merveilleux Univers,Το υπέροχο Σύμπαν μας,Universul nostru minunat,O nosso maravilhoso Universo
,Space sciences and exploration,Ruimtewetenschappen en -verkenning,Studio ed esplorazione dello spazio,Weltraumforschung,Ciencia e investigación espacial,Nauki o kosmosie i jego eksploracja,Věda o vesmíru a jeho zkoumání,Sciences de l’espace et exploration,Επιστήμες του διαστήματος και εξερεύνησή του,Studiul şi explorarea spaţiului,Ciências e exploração do espaço
,Get inspired by the beauty and vastness of the Universe,RAAK GEÏNSPIREERD DOOR DE SCHOONHEID EN ENORMITEIT VAN HET HEELAL,LASCIATI ISPIRARE DALLA BELLEZZA E DALLA VASTITÀ DELL’UNIVERSO,LASSEN SIE SICH VON DER SCHÖNHEIT UND WEITE DES UNIVERSUMS INSPIRIEREN,QUE LA HERMOSURA Y LA INMENSIDAD DEL UNIVERSO TE INSPIRE,ZNAJDŹ NATCHNIENIE W PIĘKNIE I OGROMIE WSZECHŚWIATA,NECHTE SE INSPIROVAT KRÁSOU A ROZLEHLOSTÍ VESMÍRU,SE DÉLECTER DE LA BEAUTÉ ET DE L’IMMENSITÉ DE L’UNIVERS,ΕΜΠΕΝΥΣΤΕΙΤΕ ΑΠΟ ΤΗΝ ΟΜΟΡΦΙΑ ΚΑΙ ΤΗΝ ΑΠΕΡΑΝΤΟΣΥΝΗ ΤΟΥ ΣΥΜΠΑΝΤΟΣ,CONTEMPLĂ FRUMUSEŢEA ŞI IMENSITATEA UNIVERSULUI,DEIXE-SE INSPIRAR PELA BELEZA E VASTIDÃO DO UNIVERSO
Categories texts – Earth,,,,,,,,,,,
,Earth Observation,,,,,,,,,,
,Our fragile planet,Onze kwetsbare planeet,Il nostro fragile pianeta,Unser schutzbedürftiger Planet,El planeta frágil que tenemos,Nasza krucha planeta,Naše křehká planeta,Notre fragile planète ,Ο εύθραυστος πλανήτης μας,Planeta noastră fragilă,O nosso frágil planeta
,Earth from above,De aarde van boven ,La Terra dall’alto ,Die Erde von oben ,La Tierra desde arriba ,Ziemia z kosmosu ,Planeta Země z výšky ,La Terre vue d’en haut ,Η Γη από ψηλά ,Pământul văzut de sus ,A Terra vista de cima 
,"The Earth, our unique and fragile home","DE AARDE, ONS UNIEKE EN KWETSBARE THUIS",LA NOSTRA CASA UNICA E FRAGILE: LA TERRA,"DIE ERDE, UNSER EINMALIGES UND SCHUTZBEDÜRFTIGES ZUHAUSE","LA TIERRA, UN HOGAR ÚNICO Y FRÁGIL QUE ES NUESTRO","ZIEMIA, NASZ WYJĄTKOWY, KRUCHY DOM","ZEMĚ, NÁŠ JEDINEČNÝ A KŘEHKÝ DOMOV","LA TERRE, NOTRE UNIQUE ET FRAGILE PORT D’ATTACHE","Η ΓΗ, ΤΟ ΜΟΝΑΔΙΚΟ ΚΑΙ ΕΥΘΡΑΥΣΤΟ ΣΠΙΤΙ ΜΑΣ","PĂMÂNTUL, UNICA ŞI FRAGILA NOASTRĂ CASĂ","A TERRA, O NOSSO PLANETA ÚNICO E FRÁGIL"
Categories texts – Navigation,,,,,,,,,,,
,Navigation,Navigatie,Navigazione,Navigation,Trasladarse,Nawigacja,Navigace,Navigation,,Navigaţia,Navegação
,Navigation through the ages,Navigatie door de eeuwen heen,Navigazione attraverso le epoche,Navigation im Lauf der Geschichte,Trasladarse a otras épocas,Nawigacja przez wieki,Navigace v průběhu staletí,La navigation à travers les âges ,Η ναυσιπλοΐα στην πάροδο των χρόνων,Navigaţia de-a lungul secolelor,Navegação através dos tempos
,Global discovery & mobility,Wereldwijde ontdekking en mobiliteit,Scoperta globale e mobilità,Globale Erforschung und Mobilität,Descubrir y moverse por el mundo,Odkrywcy i podróżni,Světové objevy a cesty,Découverte et mobilité planétaires ,Ανακάλυψη του κόσμου και κινητικότητα,Descoperiri şi mobilitate la nivel global,Descoberta e mobilidade globais
,Trace the history of navigation from the first explorers to GPS,VOLG DE GESCHIEDENIS VAN NAVIGATIE VAN DE EERSTE ONTDEKKINGSREIZIGERS TOT GPS,SEGUI LA STORIA DELLA NAVIGAZIONE DAI PRIMI ESPLORATORI AL GPS,VERFOLGEN SIE DIE GESCHICHTE DER NAVIGATION VON DEN ERSTEN ENTDECKERN BIS ZU GPS,SIGUE LA HUELLA DE LA HISTORIA DE LA NAVEGACIÓN DESDE LOS PRIMEROS EXPLORADORES AL GPS,POZNAJ HISTORIĘ NAWIGACJI OD WIELKICH ODKRYĆ GEOGRAFICZNYCH DO GPS,SLEDUJTE DĚJINY NAVIGACE OD PRVNÍCH PRŮZKUMNÍKŮ PO GPS,RETRACEZ L’HISTOIRE DE LA NAVIGATION DEPUIS LES PREMIERS EXPLORATEURS JUSQU’AU GPS ,ΑΝΑΚΑΛΥΨΤΕ ΤΗΝ ΙΣΤΟΡΙΑ ΤΗΣ ΝΑΥΣΙΠΛΟΙΑΣ ΑΠΟ ΤΟΥΣ ΠΡΩΤΟΥΣ ΕΞΕΡΕΥΝΗΤΕΣ ΜΕΧΡΙ ΤΟ GPS,RECONSTITUIE ISTORIA NAVIGAŢIEI DE LA PRIMII EXPLORATORI LA GPS,RECONSTITUA A HISTÓRIA DA NAVEGAÇÃO DESDE OS PRIMEIROS EXPLORADORES AO GPS
Categories texts – Heritage,,,,,,,,,,,
,Islamic heritage,Islamitisch erfgoed,Eredità islamica,Das islamische Erbe,La herencia árabe,dziedzictwo islamu,Islámské dědictví,Patrimoine musulman,Ισλαμική κληρονομιά,Patrimoniul islamic,Património islâmico
,The journey of ideas,De reis van ideeën,Il viaggio delle idee,Die Reise der Ideen,El viaje de las ideas,Wędrówki idei,Cesta myšlenek,Le voyage des idées ,Το ταξίδι των ιδεών,Periplul ideilor,A viagem das ideias
,Building a bridge between the Islamic world and Europe,EEN BRUG BOUWEN TUSSEN DE ISLAMITISCHE WERELD EN EUROPA,GETTARE UN PONTE FRA MONDO ISLAMICO ED EUROPA,BRÜCKENBAU ZWISCHEN DER ISLAMISCHEN WELT UND EUROPA,UN PUENTE ENTRE EL MUNDO ÁRABE Y EUROPA,BUDOWA POMOSTU ŁĄCZĄCEGO ŚWIAT ISLAMU I EUROPĘ,STAVÍME MOSTY MEZI ISLÁMSKÝM SVĚTEM A EVROPOU,CONSTRUIRE UN PONT ENTRE LE MONDE MUSULMAN ET L’EUROPE,ΟΙΚΟΔΟΜΩΝΤΑΣ ΜΙΑ ΓΕΦΥΡΑ ΜΕΤΑΞΥ ΤΟΥ ΙΣΛΑΜΙΚΟΥ ΚΟΣΜΟΥ ΚΑΙ ΤΗΣ ΕΥΡΩΠΗΣ,CONSTRUIREA UNEI PUNŢI ÎNTRE LUMEA ISLAMICĂ ŞI EUROPA,CONSTRUIR UMA PONTE ENTRE O MUNDO ISLÂMICO E A EUROPA
News – metadata,,,,,,,,,,,
,organiser,,,,,,,,,,
,language,Taal,Lingua ,Sprache ,Idioma ,Język ,Jazyk ,Langue  ,Γλώσσα,Limba ,Língua
,download,Downloaden ,Scarica ,Download ,Descargar ,Pobierz ,Ke stažení ,Télécharger  ,Μεταφόρτωση ,Descărcare ,Descarregar 
,website,Website ,Sito web ,Website,Web ,Strona internetowa ,Webové stránky ,Site Internet ,Ιστοσελίδα ,Site,Sítio web 
Space Scoops,,,,,,,,,,,
,Click to see full image,,,,,,,,,,
,Cool Fact!,,,,,,,,,,
,Go to,,,,,,,,,,
,This Space Scoop is based on a Press Release from,,,,,,,,,,
,This Space Scoop is based on Press Releases from,,,,,,,,,,
,more news,,,,,,,,,,
Space Scoops (print),,,,,,,,,,,
,Space Scoop,,,,,,,,,,
Game type,,,,,,,,,,,
,Citizen Science,Burgerwetenschap ,Citizen Science ,Bürgerwissenschaft,Ciencia ciudadana ,Nauka obywatelska ,Občanská věda,Sciences citoyennes ,Επιστήμη των Πολιτών ,Ştiinţă civică,Ciência Cidadã 
,Fun Learning,Leuk leren ,Apprendere divertendosi ,Lernen mit Spaß,Aprender divirtiéndose ,Nauka przez zabawę ,Zábavné učení,Apprendre en s’amusant ,Διασκεδαστική Μάθηση ,Învăţare ludică,Aprendizagem lúdica 
,Game,Game ,Giochi ,Spiel,Juego ,Gra ,Hra,Jeu ,Παιχνίδια ,Joc,Jogo 
,Software,Software ,Software ,Software ,Software ,Oprogramowanie ,Software,Logiciel ,Λογισμικό ,Software,Software 
,Other,Anders,Altro,Sonstiges,Otros,Inny,Jiné,Autre,Άλλα,Alta,Outro
Game – Platform Choices,,,,,,,,,,,
,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook,Facebook
,Website,Website,Sito web ,Website,Web ,Strona internetowa ,Webové stránky ,Site Internet ,Ιστοσελίδα ,Site,Sítio web 
,App,App,App,App,Aplicación ,Aplikacja ,Aplikace ,Appli ,Εφαρμογή ,Aplicaţie,Aplicação 
,Data Collection,Dataverzameling ,Raccolta dati ,Datenerfassung,Recogida de datos ,Zbieranie danych ,Shromažďování údajů,Recueil des données ,Συλλογή δεδομένων ,Culegere de date,Recolha de dados 
Game – metadata column,,,,,,,,,,,
,go to the activity,Ga naar de activiteit,Vai all’attività,Zur Aktivität,Ir a la actividad,Przejdź do zajęć,Přejít na aktivitu,Aller à l’activité,Μετάβαση στη δραστηριότητα,Salt la activitate,Ir para a atividade
,difficulty level,Moeilijkheid,Livello di difficoltà,Schwierigkeitsgrad,Dificultad,Poziom trudności,Míra obtížnosti,Niveau de difficulté,Επίπεδο δυσκολίας,Nivel de dificultate,Nível de dificuldade
,fun level,Leukheid,Livello di divertimento,Spaßfaktor,Diversión,Poziom zabawy,Míra zábavnosti,Degré d’amusement,Επίπεδο διασκέδασης,Nivel ludic,Nível lúdico
,type,Type activiteit,Tipo di attività,Art der Aktivität,Tipo de actividad,Rodzaj zajęć,Typ aktivity,Type d’activité,Τύπος δραστηριότητας,Tip de activitate,Tipo de atividade
,languages,Taal,Lingua,Sprache,Idioma,Język,Jazyk,Langue ,Γλώσσα,Limba,Língua
,platform,Platform,Piattaforma,Plattform,Plataforma,Platforma,Platforma,Plateforme,Πλατφόρμα,Platformă,Plataforma
Activities – sections,,,,,,,,,,,
,Brief Description,Korte beschrijving,Breve descrizione ,Kurzbeschreibung,Breve descripción,Krótki opis,Stručný popis,Description succincte,Σύντομη Περιγραφή,Scurtă descriere,Breve descrição
,Goals,Doelen,Finalità,Ziele,Objetivos,Cele ogólne,Cíle,Objectifs,Στόχοι,Scopuri,Objetivos
,Learning Objectives,Leerdoelen,Obiettivi didattici,Lernziele,Objetivos de aprendizaje,Cele operacyjne,Výukové cíle,Objectifs pédagogiques ,Μαθησιακοί Στόχοι,Obiective de învăţare,Objetivos de aprendizagem
,Evaluation,Evaluatie,Valutazione,Bewertung,Evaluación,Ewaluacja,Hodnocení,Évaluation,Αξιολόγηση,Evaluare,Avaliação
,Materials,Materiaal,Materiali,Materialien,Materiales,Materiał,Pomůcky,Matériel,Υλικό,Material,Material
,Background Information,Achtergrondinformatie,Informazioni di base,Hintergrundinformationen,Información de referencia,Podstawowe informacje,Informace o tématu,Informations complémentaires,Θεωρητικές πληροφορίες ,Informaţii de bază,Informações de referência
,Full Activity Description,Volledige beschrijving van de activiteit,Descrizione completa dell’attività,Vollständige Beschreibung der Aktivität,Descripción completa de la actividad,Pełny opis zajęć,Podrobný popis aktivity,Description complète de l’activité,Πλήρης Περιγραφή της Δραστηριότητας,Descrierea completă a activităţii,Descrição da atividade completa
,Curriculum,Curriculum,Programma di studi,Lehrplan,Plan de estudio,Program nauczania,Vzdělávací plán,Programme scolaire,Πρόγραμμα σπουδών,Curriculum,Currículo
,Additional Information,Aanvullende informatie,Informazioni aggiuntive,Zusätzliche Informationen,Más información,Informacje dodatkowe,Další informace,Informations supplémentaires,Περισσότερες πληροφορίες,Informaţii suplimentare,Informações adicionais
,Conclusion,Conclusie,Conclusione,Fazit,Conclusión,Zakończenie,Závěr,Conclusion,Συμπεράσματα,Concluzie,Conclusão
Activities – metadata column,,,,,,,,,,,
,Attachments,Bijlagen,Allegati,Anhänge,Archivos adjuntos,Załączniki,Přílohy,Les pièces jointes,Επισυνάψεις,Anexe,Anexos
,Curriculum topic,Curriculumonderwerp,Argomento del programma di studi,Lehrplanthema,Tema del plan de estudio,Temat z programu nauczania,Téma podle vzdělávacího plánu,Matière au programme ,Θέμα αναλυτικού προγράμματος,Materie din programă,Tópico curricular
,Big idea of science,Grote idee van wetenschap,Le grandi idee della scienza,Übergeordnetes wissenschaftliches Konzept,La gran idea de la ciencia,Ważna koncepcja nauki,Velká vědecká myšlenka,Une grande idée de la science  ,Μεγάλη Επιστημονική Ιδέα,Marea idee ştiinţifică,Grande ideia científica
,Keywords,Trefwoorden,Parole chiave,Schlüsselwörter,Palabras clave,Słowa kluczowe,Klíčová slova,Mots clés ,Λέξεις-κλειδιά,Cuvinte-cheie,Palavras-chave
,Age range,Leeftijdsgroep,Fascia d’età,Altersgruppe,Edades,Wiek,Věková skupina,Tranche d’âge ,Ηλικίες,Grupa de vârstă,Faixa etária
,Education level,Onderwijsniveau,Livello scolastico,Bildungsebene,Nivel del sistema educativo,Poziom kształcenia,Stupeň vzdělávání,Niveau d’études ,Εκπαιδευτική βαθμίδα,Nivel de studii,Nível de ensino
,Time,Tijd,Tempo,Zeit,Tiempo,Czas trwania,Čas,Durée ,Χρόνος,Timp,Duração
,Group size,Groepsgrootte,Dimensione del gruppo,Gruppengröße,Tamaño del grupo,Rozmiar grupy,Velikost skupiny,Taille du groupe,Μέγεθος ομάδας,Dimensiune grup,Dimensão do grupo
,Supervised for safety,Toezicht voor de veiligheid,Supervisionato a fini di sicurezza,Überwachung aus Sicherheitsgründen,Supervisión de seguridad,Nadzór ze względów bezpieczeństwa,Dohled z důvodu bezpečnosti,Supervisé par rapport à la sécurité ,Επιβλεπόμενο για λόγους ασφάλειας,Supraveghere din motive de siguranţă,Controlo de segurança
,Cost,Kosten,Costo,Kosten,Gasto,Koszt,Cena,Dépense ,Κόστος,Costuri,Custo
,Location,Locatie ,Luogo ,Ort ,Ubicación ,Lokalizacja ,Místo ,Lieu ,Μέρος ,Loc ,Localização 
,Core skills,Kernvaardigheden,Competenze chiave,Kernkompetenzen,Competencias básicas,Umiejętności kluczowe,Základní dovednosti,Compétences de base ,Βασικές Δεξιότητες,Competenţe de bază,Competências básicas
,Type of learning activity,Type leeractiviteit,Tipo di attività didattica,Art der Lernaktivität,Tipo de actividad de aprendizaje,Rodzaj zajęć edukacyjnych,Typ vzdělávací aktivity,Type d’activité d’apprentissage ,Τύπος μαθησιακής δραστηριότητας,Tip de activitate de învăţare,Tipo de atividade de aprendizagem
,Author,Auteur van de activiteit,Autore dell’attività,Autor der Aktivität,Autor de la actividad,Autor zajęć,Autor aktivity,Auteur de l’activité ,Συγγραφέας της δραστηριότητας,Autorul activităţii,Autor da atividade
,Link to source activity,Link naar de bronactiviteit,Link alla fonte dell’attività,Link zur ursprünglichen Aktivität,Enlace a la actividad original,Link do materiału źródłowego,Odkaz na původní aktivitu,Lien vers l’activité d’origine ,Σύνδεσμος για την πηγή της δραστηριότητας,Pagina activităţii de origine,Ligação à atividade de origem
,Repositories,Verzamelplaatsen,Archivi,Archive,Repositorios,Repozytoria,Archivy,Répertoires ,Αποθετήρια,Arhive,Repositórios 
Activities - print,,,,,,,,,,,
,Tested by teachers,,,,,,,,,,
Page – About,,,,,,,,,,,
,Contact us,Neem contact met ons op,Contattaci,Kontakt,Contacto,Skontaktuj się z nami,Kontaktujte nás,Contactez-nous,Επικοινωνήστε μαζί μας,Contactaţi-ne,Contacte-nos
,National contacts, Nationale contactpersonen,Contatti nazionali,Nationale Ansprechpartner,Contactos en el país,Kontakty krajowe,Zástupci v jednotlivých zemích,Personnes à contacter au niveau national,Εθνικά σημεία επαφής,Contacte naţionale,Contactos nacionais
,Project partners,Projectpartners,Partner del progetto,Projektpartner,Colaboradores del proyecto,Partnerzy projektu,Partneři projektu,Partenaires du projet,Εταίροι του έργου,Parteneri de proiect,Parceiros do projeto
,The Space Awareness team,Het Space Awareness-team,Il team Space Awareness,Das Space Awareness-Team,El equipo Space Awareness,Zespół Space Awareness,Tým programu „Povědomí o vesmíru“,L’équipe de Space Awareness,Η ομάδα του Space Awareness,Echipa Space Awareness,A equipa do Space Awareness
,Space Awareness is developed by,Space Awareness wordt ontwikkeld door,Space Awareness è sviluppato da,Space Awareness wird entwickelt von,Space Awareness es un proyecto del que forman parte,Nad rozwojem Space Awareness pracują,Program „Povědomí o vesmíru“ vytvořili,Space Awareness est développé par ,Το Space Awareness αναπτύχθηκε από,„Space Awareness” a fost conceput de,O Space Awareness é desenvolvido por
,Space Awareness is developed in collaboration with,Space Awareness wordt ontwikkeld in samenwerking met,Space Awareness è sviluppato in collaborazione con,Space Awareness wird entwickelt in Zusammenarbeit mit,Space Awareness es un proyecto en el que han colaborado,Space Awareness powstaje we współpracy z,Program „Povědomí o vesmíru“ byl vyvinut ve spolupráci s,Space Awareness est développé en collaboration avec ,Το Space Awareness αναπτύχθηκε σε συνεργασία με,„Space Awareness” a fost conceput în colaborare cu,O Space Awareness é desenvolvido em colaboração com
Misc,,,,,,,,,,,
